Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49398072,When No One Is Watching,Alyssa Cole,"Cole, Alyssa",,"=""0062982656""","=""9780062982650""",0,3.47,William Morrow Paperbacks,Paperback,352,2020,2020,,2025/08/28,to-read,to-read (#208),to-read,,,,0,0
123429195,That's Not My Name,Megan Lally,"Lally, Megan",,"=""1728270111""","=""9781728270111""",4,4.06,Sourcebooks Fire,Paperback,297,2023,2023,2025/08/28,2025/08/27,,,read,,,,1,0
55138263,"Before She Disappeared (Frankie Elkin, #1)",Lisa Gardner,"Gardner, Lisa",,"=""1524745049""","=""9781524745042""",0,3.97,Dutton,Hardcover,400,2021,2021,,2025/08/27,to-read,to-read (#207),to-read,,,,0,0
22545465,The Unquiet Dead (Rachel Getty & Esa Khattak #1),Ausma Zehanat Khan,"Khan, Ausma Zehanat",,"=""1250055113""","=""9781250055118""",0,3.83,Minotaur Books,Hardcover,352,2015,2015,,2025/08/27,to-read,to-read (#206),to-read,,,,0,0
25067570,"Evil Games (DI Kim Stone, #2)",Angela Marsons,"Marsons, Angela",,"=""""","=""""",0,4.31,Bookouture,ebook,352,2015,2015,,2025/08/27,to-read,to-read (#205),to-read,,,,0,0
24483265,"Silent Scream (DI Kim Stone, #1)",Angela Marsons,"Marsons, Angela",,"=""1909490911""","=""9781909490918""",0,4.07,Bookouture,ebook,390,2015,2015,,2025/08/27,to-read,to-read (#204),to-read,,,,0,0
217287512,"Taboo: Conversations We Never Had About Sex, Body Image, Work and Relationships",Hannah Ferguson,"Ferguson, Hannah",,"=""1923135066""","=""9781923135062""",4,4.20,Affirm Press,Kindle Edition,206,2024,2024,2025/08/27,2025/08/15,,,read,,,,1,0
203326212,The Prediction (The Jolvix Episodes #1),Faith   Gardner,"Gardner, Faith",,"=""""","=""""",4,3.80,Mirror House Press,Kindle Edition,,2023,2022,2025/08/27,2025/08/25,,,read,,,,1,0
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,"=""1591842808""","=""9781591842804""",3,4.10,Portfolio,Hardcover,256,2009,2009,2025/07/01,2025/04/02,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.12,Knopf,Hardcover,401,2022,2022,,2025/07/06,to-read,to-read (#203),to-read,,,,1,0
