Title,Availability,MediaType,WaitStatus
Big Little Lies (Liane Moriarty),Not available,Ebook,Wait about 7 weeks
"The Wolf Den (Elodie Harper, Antonia Beamish)",Available,Audiobook,Available now
The Wolf Den (Elodie Harper),Not available,Ebook,Wait about 7 weeks
What We Can Know,Not found,Not found,Not found
"Dear Girls (Ali Wong, Ali Wong)",Not available,Ebook,Not borrowable
"Dear Girls (Ali Wong, Ali Wong, Ali Wong)",Available,Audiobook,Available now
The Heiress,Not found,Not found,Not found
"How to Solve Your Own Murder (Castle Knoll Files, #1)",Not found,Not found,Not found
First Lie Wins,Not found,Not found,Not found
"When You Are Mine (Michael Robotham, Katy Sobey)",Not available,Audiobook,Wait about 6 weeks
"The White Crow (Philomena McCarthy, #2)",Not found,Not found,Not found
"An Ill Wind (Margaret Hickey, Emma Harvie, Sam Rechner)",Not available,Audiobook,Wait about 21 weeks
"Naked in Death (J.D. Robb, Cristine McMurdo-Wallis)",Not available,Audiobook,Wait about 9 weeks
The Scene of the Crime,Not found,Not found,Not found
"The Last Move  (Criminal Profiler, #1)",Not found,Not found,Not found
"An Elderly Lady Must Not Be Crossed (Helene Tursten, Ann Richardson, Marlaine Delargy)",Available,Audiobook,Available now
"An Elderly Lady Is Up to No Good (Helene Tursten, Suzanne Toren, Marlaine Delargy)",Not available,Audiobook,Wait about 1 weeks
"An Elderly Lady Is Up to No Good (Helene Tursten, Marlaine Delargy)",Not available,Ebook,Wait about 1 weeks
"My Sister, the Serial Killer (Oyinkan Braithwaite)",Available,Ebook,Available now
"My Sister, the Serial Killer (Oyinkan Braithwaite)",Available,Ebook,Available now
"My Sister, the Serial Killer (Oyinkan Braithwaite, Weruche Opia)",Not available,Audiobook,Wait about 6 weeks
The Women Who Changed Art Forever: Feminist Art – The Graphic Novel,Not found,Not found,Not found
Dope Girls: The Birth of the British Drug Underground,Not found,Not found,Not found
The Other Side of Night (Adam Hamdy),Not available,Ebook,Not borrowable
"Don't Swipe Right (L.M. Chilton, Georgia Maguire)",Not available,Audiobook,Not borrowable
We Solve Murders (Richard Osman),Not available,Ebook,Wait about 42 weeks
"Every Time I Go on Vacation, Someone Dies (Catherine Mack, Elizabeth Evans)",Available,Audiobook,Available now
"Every Time I Go on Vacation, Someone Dies (Catherine Mack)",Available,Ebook,Available now
"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Not found,Not found,Not found
Just Another Missing Person (Gillian McAllister),Not available,Ebook,Not borrowable
"Just Another Missing Person (Gillian McAllister, Joanne Froggatt, Justin Avoth, Kerry Wotton)",Not available,Audiobook,Wait about 2 weeks
Wrong Place Wrong Time (Gillian McAllister),Not available,Ebook,Wait about 21 weeks
"Wrong Place Wrong Time (Gillian McAllister, Lesley Sharp)",Not available,Audiobook,Wait about 1 weeks
The Return of Ellie Black,Not found,Not found,Not found
"You Are Fatally Invited (Ande Pliego, Feodor Chin, Alejandro Ruiz, Jeremy Carlisle Parker, John Lee, Victoria Villarreal, Will Damron, Dawn Harvey, Mia Hutchinson-Shaw)",Not available,Audiobook,Wait about 11 weeks
Political Animals: The New Feminist Cinema (International Library of the Moving Image),Not found,Not found,Not found
This Girl's a Killer,Not found,Not found,Not found
City of Girls (Elizabeth Gilbert),Available,Ebook,Available now
"City of Girls (Elizabeth Gilbert, Cathlen Gawlich)",Not available,Audiobook,Not borrowable
"Fifty-Fifty (Eddie Flynn, #5)",Not found,Not found,Not found
What Kind of Paradise,Not found,Not found,Not found
The Huntress (Kate Quinn),Not available,Ebook,Wait about 16 weeks
"The Huntress (Kate Quinn, Saskia Maarleveld)",Not available,Audiobook,Wait about 5 weeks
It's Only Blood: Shattering the Taboo of Menstruation,Not found,Not found,Not found
Periods Gone Public (Jennifer Weiss-Wolf),Not available,Ebook,Not borrowable
Period. End of Sentence.: A New Chapter in the Fight for Menstrual Justice,Not found,Not found,Not found
Period Power: A Manifesto for the Menstrual Movement,Not found,Not found,Not found
"Our Red Book: Intimate Histories of Periods, Growing & Changing",Not found,Not found,Not found
Stories from Suffragette City,Not found,Not found,Not found
The War Widow (Tara Moss),Not available,Ebook,Wait about 20 weeks
Becoming Heroines: Unleashing Our Power for Revolution and Rebirth,Not found,Not found,Not found
Equity: How to Design Organizations Where Everyone Thrives,Not found,Not found,Not found
"Come As You Are (Emily Nagoski, Emily Nagoski, Nicholas Boulton)",Not available,Audiobook,Wait about 10 weeks
"Come as You Are (Emily Nagoski, Emily Nagoski)",Not available,Audiobook,Wait about 2 weeks
Come as You Are (Emily Nagoski),Not available,Ebook,Wait about 10 weeks
"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear",Not found,Not found,Not found
The Epic Mentor Guide: Insider Advice for Girls Eyeing the Workforce from 180 Boss Women Who Know,Not found,Not found,Not found
Inventing the It Girl: How Elinor Glyn Created the Modern Romance and Conquered Early Hollywood,Not found,Not found,Not found
"Madame Restell: The Life, Death, and Resurrection of Old New York's Most Fabulous, Fearless, and Infamous Abortionist",Not found,Not found,Not found
"Eve (Cat Bohannon, Cat Bohannon)",Not available,Audiobook,Wait about 3 weeks
Eve (Cat Bohannon),Not available,Ebook,Wait about 2 weeks
"Bringing Down the Duke (A League of Extraordinary Women, #1)",Not found,Not found,Not found
"The Gentleman's Gambit (A League of Extraordinary Women, #4)",Not found,Not found,Not found
Micro Activism: How You Can Make a Difference in the World without a Bullhorn,Not found,Not found,Not found
Kill For Love,Not found,Not found,Not found
Young and Restless: The Girls Who Sparked America's Revolutions,Not found,Not found,Not found
The Bookbinder,Not found,Not found,Not found
The Sentence,Not found,Not found,Not found
Babel (R.F. Kuang),Not available,Ebook,Wait about 22 weeks
"Babel (R.F. Kuang, Chris Lew Kum Hoi, Billie Fulford-Brown)",Not available,Audiobook,Wait about 9 weeks
The Female Gaze: Essential Movies Made by Women,Not found,Not found,Not found
"Dead and Gondola (Christie Bookshop, #1)",Not found,Not found,Not found
White Feminism: From the Suffragettes to Influencers and Who They Leave Behind,Not found,Not found,Not found
Station Eleven (Emily St. John Mandel),Not available,Ebook,Wait about 6 weeks
The Women Could Fly (Megan Giddings),Not available,Ebook,Not borrowable
I Keep My Exoskeletons to Myself,Not found,Not found,Not found
"Code Dependent (Madhumita Murgia, Madhumita Murgia)",Available,Audiobook,Available now
Nosy Neighbors,Not found,Not found,Not found
The Lion Women of Tehran (Marjan Kamali),Not available,Ebook,Wait about 2 weeks
"The Lion Women of Tehran (Marjan Kamali, Mozhan Navabi, Nikki Massoud)",Not available,Audiobook,Wait about 15 weeks
